
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
390,Dustin Garneau\garnedu01,33,DET,68,.333,111,.175,.371,8.8%,26.5%,4.4%,86.4,43.5%,19.6%,34.8%,32.6%,0.53,43.5%,43.5%,13.0%,-0.4,0.0%,-3.2
391,Braxton Garrett\garrebr01,23,MIA,11,.163,-17,.286,.000,0.0%,36.4%,0.0%,84.0,14.3%,28.6%,57.1%,14.3%,1.33,14.3%,57.1%,28.6%,-0.1,0.0%,-1.4
392,Mitch Garver\garvemi01,30,MIN,243,.368,138,.320,.261,5.4%,29.2%,12.8%,92.3,53.6%,25.4%,31.2%,33.3%,0.45,40.6%,42.8%,16.7%,0.4,-0.3%,3.6
393,Kevin Gausman\gausmke01,30,SFG,62,.180,-14,.417,.000,0.0%,50.0%,3.2%,67.5,0.0%,10.3%,51.7%,6.9%,3.00,10.3%,69.0%,20.7%,-0.3,-0.2%,-7.8
394,Domingo German\germado01,28,NYY,3,.000,-241,,.000,0.0%,66.7%,0.0%,54.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-1.3
395,Trent Giambrone\giambtr01,27,CHC,13,.138,-36,.222,.000,0.0%,30.8%,0.0%,86.0,33.3%,0.0%,66.7%,33.3%,2.00,44.4%,44.4%,11.1%,-0.4,0.0%,-2.6
396,Kyle Gibson\gibsoky01,33,TOT,30,.162,-21,.167,.103,3.3%,33.3%,0.0%,73.9,20.0%,0.0%,65.0%,5.0%,4.33,15.0%,45.0%,40.0%,-0.3,-0.2%,-4.5
397,Kyle Gibson\gibsoky01,33,TEX,2,.000,-125,.000,.000,0.0%,50.0%,0.0%,26.2,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4
398,Kyle Gibson\gibsoky01,33,PHI,28,.174,-13,.176,.111,3.6%,32.1%,0.0%,76.4,21.1%,0.0%,68.4%,5.3%,4.33,15.8%,47.4%,36.8%,-0.3,-0.1%,-4.1
399,Tyler Gilbert\gilbety01,27,ARI,11,.000,-182,.000,.000,0.0%,54.6%,0.0%,48.1,0.0%,0.0%,40.0%,0.0%,,0.0%,40.0%,60.0%,-0.2,0.0%,-3.6
400,Andres Gimenez\gimenan01,22,CLE,210,.287,66,.273,.133,2.4%,25.7%,5.2%,85.4,30.7%,14.5%,49.3%,29.0%,1.01,36.2%,45.7%,18.1%,-0.2,-0.3%,-3.0
401,Lucas Giolito\giolilu01,26,CHW,4,.223,31,1.000,.000,0.0%,75.0%,0.0%,105.6,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,-0.1%,-1.2
402,Chris Gittens\gittech01,27,NYY,44,.216,25,.130,.083,2.3%,29.6%,15.9%,86.3,41.7%,16.7%,58.3%,20.8%,1.40,29.2%,54.2%,16.7%,-0.5,-0.3%,-3.9
403,Tyler Glasnow\glasnty01,27,TBR,2,.000,-118,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
404,Zack Godley\godleza01,31,MIL,1,,,,,0.0%,0.0%,0.0%,30.7,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.2
405,Jose Godoy\godoyjo01,26,SEA,40,.194,14,.261,.027,0.0%,35.0%,7.5%,86.2,34.8%,17.4%,47.8%,30.4%,0.92,30.4%,60.9%,8.7%,-0.5,-0.3%,-3.2
406,Paul Goldschmidt\goldspa01,33,STL,679,.389,146,.331,.221,4.6%,20.0%,9.9%,92.6,50.7%,24.6%,37.3%,31.1%,0.59,26.9%,53.6%,19.5%,3.0,1.0%,32.9
407,Austin Gomber\gombeau01,27,COL,42,.127,-95,.158,.000,0.0%,31.0%,2.4%,60.4,12.0%,7.1%,35.7%,10.7%,1.43,28.6%,57.1%,14.3%,-0.8,-0.1%,-9.4
408,Yan Gomes\gomesya01,33,TOT,375,.314,98,.287,.169,3.7%,20.8%,5.1%,89.6,38.2%,30.5%,37.9%,24.3%,0.61,28.7%,58.1%,13.2%,0.3,0.2%,-1.7
409,Yan Gomes\gomesya01,33,WSN,235,.337,112,.309,.183,3.8%,20.0%,5.5%,89.3,39.2%,29.8%,44.4%,18.7%,0.80,28.1%,59.1%,12.9%,0.5,0.2%,2.6
410,Yan Gomes\gomesya01,33,OAK,140,.278,75,.250,.145,3.6%,22.1%,4.3%,90.2,36.6%,31.7%,26.7%,33.7%,0.36,29.7%,56.4%,13.9%,-0.2,-0.1%,-4.3
411,Tony Gonsolin\gonsoto01,27,LAD,19,.197,0,.333,.059,0.0%,42.1%,5.3%,79.3,20.0%,10.0%,70.0%,10.0%,3.50,40.0%,50.0%,10.0%,-0.2,-0.2%,-1.5
412,Marco Gonzales\gonzama02,29,SEA,4,.000,-123,.000,.000,0.0%,50.0%,0.0%,62.3,50.0%,50.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.5
413,Chi Chi Gonzalez\gonzach01,29,COL,34,.173,-28,.333,.032,0.0%,47.1%,2.9%,70.8,29.4%,17.6%,47.1%,11.8%,1.60,0.0%,82.4%,17.6%,-0.4,-0.1%,-5.4
414,Erik Gonzalez\gonzaer01,29,PIT,229,.244,44,.274,.068,0.9%,17.5%,3.5%,87.0,31.8%,22.1%,62.4%,12.7%,1.66,19.3%,60.8%,19.9%,-2.0,-0.8%,-13.1
415,Luis Gonzalez\gonzalu03,25,CHW,11,.413,165,.333,.250,0.0%,18.2%,27.3%,86.9,50.0%,33.3%,33.3%,33.3%,0.50,16.7%,66.7%,16.7%,0.0,0.0%,1.0
416,Marwin Gonzalez\gonzama01,32,TOT,307,.260,51,.258,.105,1.6%,25.4%,6.5%,86.9,34.7%,23.0%,50.0%,16.5%,1.04,37.5%,48.0%,14.5%,-1.9,-1.2%,-20.4
417,Marwin Gonzalez\gonzama01,32,BOS,271,.258,49,.275,.083,0.7%,25.8%,7.0%,87.0,36.4%,25.9%,48.3%,15.5%,0.98,37.4%,47.7%,14.9%,-1.5,-1.2%,-18.4
418,Marwin Gonzalez\gonzama01,32,HOU,36,.273,66,.130,.265,8.3%,22.2%,2.8%,86.0,23.1%,3.8%,61.5%,23.1%,1.60,38.5%,50.0%,11.5%,-0.4,0.0%,-2.0
419,Romy Gonzalez\gonzaro01,24,CHW,33,.262,59,.381,.094,0.0%,33.3%,3.0%,87.1,40.0%,23.8%,52.4%,23.8%,1.10,23.8%,52.4%,23.8%,-0.3,0.0%,-3.0
420,Niko Goodrum\goodrni01,29,DET,325,.292,81,.301,.145,2.8%,32.9%,8.9%,88.0,40.0%,24.3%,41.1%,31.4%,0.70,30.8%,53.0%,16.2%,-0.9,-0.3%,-9.6
421,Brian Goodwin\goodwbr01,30,CHW,271,.309,91,.259,.153,3.0%,21.4%,12.2%,88.1,31.8%,26.3%,36.9%,29.1%,0.59,39.1%,43.6%,17.3%,-0.5,0.6%,-1.6
422,Nick Gordon\gordoni01,25,MIN,216,.299,82,.310,.115,1.9%,25.5%,5.6%,91.2,47.9%,26.7%,50.7%,20.5%,1.03,30.8%,54.8%,14.4%,0.4,0.0%,-2.1
423,Phil Gosselin\gosseph01,32,LAA,373,.301,85,.322,.101,1.9%,21.7%,6.4%,87.0,35.2%,22.3%,44.5%,26.8%,0.82,21.9%,57.0%,21.1%,-1.1,-0.3%,-2.3
424,Ashton Goudeau\goudeas01,28,TOT,6,.150,-37,.500,.000,0.0%,66.7%,0.0%,86.9,0.0%,50.0%,50.0%,0.0%,1.00,100.0%,0.0%,0.0%,-0.1,0.0%,-1.7
425,Ashton Goudeau\goudeas01,28,COL,6,.150,-37,.500,.000,0.0%,66.7%,0.0%,86.9,0.0%,50.0%,50.0%,0.0%,1.00,100.0%,0.0%,0.0%,-0.1,0.0%,-1.7
426,Yasmani Grandal\grandya01,32,CHW,375,.406,160,.246,.280,6.1%,21.9%,23.2%,92.6,53.2%,21.7%,40.4%,27.6%,0.69,36.5%,51.7%,11.8%,2.6,1.2%,27.0
427,Brusdar Graterol\gratebr01,22,LAD,2,.000,-134,.000,.000,0.0%,0.0%,0.0%,93.7,50.0%,0.0%,50.0%,0.0%,1.00,50.0%,50.0%,0.0%,0.0,0.0%,-0.8
428,Jon Gray\grayjo02,29,COL,50,.096,-87,.333,.000,0.0%,64.0%,0.0%,73.6,27.8%,27.8%,27.8%,11.1%,0.56,11.1%,72.2%,16.7%,-0.8,0.0%,-9.5
429,Josiah Gray\grayjo03,23,TOT,24,.069,-86,.100,.000,0.0%,50.0%,4.2%,70.8,36.4%,27.3%,45.5%,0.0%,1.67,0.0%,45.5%,54.5%,-0.6,-0.1%,-6.5
430,Josiah Gray\grayjo03,23,LAD,3,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,-0.1%,-1.1
431,Josiah Gray\grayjo03,23,WSN,21,.080,-79,.100,.000,0.0%,42.9%,4.8%,70.8,36.4%,27.3%,45.5%,0.0%,1.67,0.0%,45.5%,54.5%,-0.5,0.0%,-5.4
432,Sonny Gray\grayso01,31,CIN,43,.136,-51,.194,.000,0.0%,23.3%,2.3%,71.2,3.2%,9.4%,68.8%,6.3%,3.67,3.1%,68.8%,28.1%,-0.8,-0.5%,-9.8
433,Didi Gregorius\gregodi01,31,PHI,408,.279,64,.217,.160,3.2%,16.4%,6.1%,85.8,26.8%,21.8%,38.0%,26.0%,0.62,35.7%,47.4%,16.9%,-1.8,-1.5%,-19.4
434,Grayson Greiner\greingr01,28,DET,82,.292,82,.400,.097,1.2%,37.8%,11.0%,84.3,28.6%,23.8%,40.5%,26.2%,0.71,40.5%,40.5%,19.0%,-0.3,-0.1%,-1.4
435,Zack Greinke\greinza01,37,HOU,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,93.5,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,0.0%,100.0%,0.0,0.0%,-0.4
436,Randal Grichuk\grichra01,29,TOR,545,.299,83,.266,.182,4.0%,20.9%,5.0%,89.7,41.4%,20.0%,39.7%,29.4%,0.66,27.9%,56.1%,16.0%,-1.8,-0.9%,-8.3
437,Trent Grisham\grishtr01,24,SDP,527,.329,107,.292,.171,2.9%,22.6%,10.3%,87.5,36.8%,26.4%,39.9%,23.3%,0.70,30.2%,53.7%,16.1%,0.6,0.3%,5.4
438,Robbie Grossman\grossro01,31,DET,671,.348,119,.286,.176,3.4%,23.1%,14.6%,87.3,34.1%,26.8%,29.3%,35.9%,0.42,33.7%,49.5%,16.8%,1.0,0.2%,9.3
439,Robert Gsellman\gsellro01,27,NYM,6,.116,-46,.000,.000,0.0%,66.7%,16.7%,97.1,100.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.8
440,Javy Guerra\guerrja01,35,WSN,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
441,Junior Guerra\guerrju02,36,LAA,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,74.9,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
442,Vladimir Guerrero Jr.\guerrvl02,22,TOR,698,.422,168,.313,.290,6.9%,15.8%,12.3%,95.1,55.6%,24.4%,45.6%,25.2%,0.84,27.9%,54.3%,17.8%,3.6,2.5%,53.1
443,Luis Guillorme\guilllu01,26,NYM,156,.323,106,.315,.045,0.6%,14.7%,14.7%,85.7,22.7%,25.5%,50.0%,21.8%,1.04,16.4%,59.1%,24.5%,-0.2,-0.1%,-3.4
444,Lourdes Gurriel Jr.\gurrilo01,27,TOR,541,.340,112,.305,.190,3.9%,18.9%,5.9%,89.5,43.4%,24.4%,44.9%,25.2%,0.82,25.4%,54.3%,20.2%,1.2,0.2%,20.9
445,Yuli Gurriel\gourryu01,37,HOU,605,.362,128,.336,.143,2.5%,11.2%,9.8%,89.8,42.0%,25.5%,41.6%,24.5%,0.71,24.1%,58.2%,17.7%,1.2,0.5%,22.8
446,Taylor Gushue\gushuta01,27,CHC,4,.000,-134,.000,.000,0.0%,75.0%,0.0%,87.1,0.0%,0.0%,0.0%,100.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.7
447,Jandel Gustave\gustaja01,28,MIL,2,.000,-135,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.6
448,Kelvin Gutierrez\gutieke01,26,TOT,295,.279,69,.311,.085,1.0%,25.8%,6.4%,90.0,45.1%,21.9%,60.2%,12.8%,1.51,26.5%,55.1%,18.4%,-0.9,-0.4%,-14.6
449,Kelvin Gutierrez\gutieke01,26,KCR,142,.242,43,.272,.081,0.7%,21.8%,4.2%,91.0,44.7%,19.2%,63.5%,10.6%,1.74,27.9%,55.8%,16.3%,-1.0,-0.4%,-11.2
450,Kelvin Gutierrez\gutieke01,26,BAL,153,.313,94,.356,.088,1.3%,29.4%,8.5%,88.8,45.7%,25.0%,56.5%,15.2%,1.30,25.0%,54.3%,20.7%,0.2,0.0%,-3.4
451,Vladimir Gutiérrez\gutievl01,25,CIN,42,.114,-96,.158,.000,0.0%,33.3%,4.8%,63.2,19.2%,0.0%,46.2%,11.5%,2.40,11.5%,61.5%,26.9%,-0.8,-0.5%,-8.2
452,Ronald Guzman\guzmaro01,26,TEX,17,.157,-14,.000,.188,5.9%,35.3%,5.9%,87.2,20.0%,0.0%,60.0%,40.0%,1.50,60.0%,40.0%,0.0%,-0.3,-0.1%,-3.5
453,Eric Haase\haaseer01,28,DET,381,.325,105,.278,.228,5.8%,31.2%,6.8%,90.9,47.9%,21.4%,38.5%,32.5%,0.63,34.2%,47.0%,18.8%,-0.5,0.0%,-3.4
454,Jake Hager\hagerja01,28,TOT,30,.183,-1,.250,.000,0.0%,46.7%,13.3%,86.2,16.7%,41.7%,41.7%,16.7%,0.71,25.0%,41.7%,33.3%,0.0,0.0%,-0.7
455,Jake Hager\hagerja01,28,NYM,8,.112,-48,.200,.000,0.0%,37.5%,0.0%,87.1,20.0%,40.0%,40.0%,20.0%,0.67,20.0%,60.0%,20.0%,0.0,0.0%,-0.7
456,Jake Hager\hagerja01,28,ARI,22,.208,16,.286,.000,0.0%,50.0%,18.2%,85.6,14.3%,42.9%,42.9%,14.3%,0.75,28.6%,28.6%,42.9%,-0.1,0.0%,0.0
457,Sam Haggerty\haggesa01,27,SEA,94,.254,51,.250,.105,2.1%,29.8%,6.4%,85.4,39.0%,20.3%,49.2%,20.3%,1.04,32.2%,54.2%,13.6%,-0.3,-0.2%,-7.9
458,Billy Hamilton\hamilbi02,30,CHW,135,.277,57,.329,.157,1.5%,34.8%,3.0%,81.7,20.5%,25.0%,34.5%,23.8%,0.57,34.5%,47.6%,17.9%,0.0,0.2%,-8.1
459,J.D. Hammer\hammejd01,26,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
460,Garrett Hampson\hampsga01,26,COL,494,.294,64,.291,.146,2.2%,23.9%,6.7%,83.7,31.4%,23.8%,37.4%,28.5%,0.66,22.6%,58.2%,19.1%,-1.8,-0.1%,-18.9
461,Mitch Haniger\hanigmi01,30,SEA,691,.349,123,.281,.232,5.6%,24.5%,7.8%,89.3,45.1%,19.6%,43.1%,29.4%,0.76,34.9%,51.6%,13.5%,2.3,2.3%,29.5
462,Ian Happ\happia01,26,CHC,535,.338,104,.281,.209,4.7%,29.2%,11.6%,88.9,41.9%,20.2%,46.5%,28.2%,0.88,31.7%,48.4%,19.9%,0.5,-1.1%,4.2
463,J.A. Happ\happja01,38,TOT,15,.046,-94,.000,.000,0.0%,33.3%,6.7%,77.7,22.2%,22.2%,55.6%,11.1%,1.67,22.2%,55.6%,22.2%,-0.3,-0.1%,-3.1
464,J.A. Happ\happja01,38,STL,15,.046,-94,.000,.000,0.0%,33.3%,6.7%,77.7,22.2%,22.2%,55.6%,11.1%,1.67,22.2%,55.6%,22.2%,-0.3,-0.1%,-3.1
465,Bryce Harper\harpebr03,28,PHI,599,.438,178,.359,.305,5.8%,22.4%,16.7%,91.1,49.7%,27.2%,39.7%,26.4%,0.69,31.1%,48.6%,20.3%,4.7,3.6%,55.5
466,Ryne Harper\harpery01,32,WSN,2,.000,-354,,.000,0.0%,50.0%,0.0%,37.8,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3
467,Josh Harrison\harrijo05,33,TOT,558,.332,111,.313,.121,1.4%,13.4%,5.6%,87.0,32.6%,27.3%,40.2%,27.5%,0.67,26.8%,55.7%,17.6%,-0.7,-0.5%,0.3
468,Josh Harrison\harrijo05,33,WSN,359,.360,128,.332,.141,1.7%,13.9%,7.0%,87.3,32.8%,29.2%,37.3%,27.7%,0.60,26.2%,55.0%,18.8%,0.4,0.1%,10.2
469,Josh Harrison\harrijo05,33,OAK,199,.281,80,.281,.086,1.0%,12.6%,3.0%,86.5,32.1%,24.1%,45.1%,27.2%,0.82,27.8%,56.8%,15.4%,-1.0,-0.6%,-9.9
470,Monte Harrison\harrimo01,25,MIA,11,.164,11,.286,.100,0.0%,27.3%,0.0%,78.6,37.5%,25.0%,50.0%,0.0%,1.33,25.0%,62.5%,12.5%,-0.2,-0.1%,-2.8
471,Matt Harvey\harvema01,32,BAL,6,.000,-172,.000,.000,0.0%,50.0%,0.0%,66.9,0.0%,0.0%,33.3%,33.3%,1.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-2.0
472,Adam Haseley\haselad01,25,PHI,21,.178,-6,.235,.048,0.0%,19.1%,0.0%,84.4,17.6%,23.5%,41.2%,29.4%,0.70,5.9%,58.8%,35.3%,-0.3,-0.2%,-2.8
473,Ke'Bryan Hayes\hayeske01,24,PIT,396,.308,84,.321,.116,1.5%,22.0%,7.8%,90.2,46.2%,19.5%,57.4%,19.9%,1.35,13.4%,61.7%,24.9%,-0.6,0.0%,-3.6
474,Austin Hays\haysau01,25,BAL,529,.330,106,.286,.205,4.2%,20.2%,5.3%,88.4,39.2%,22.6%,42.6%,26.8%,0.75,29.4%,53.2%,17.4%,1.5,0.2%,8.9
475,Andrew Heaney\heanean01,30,TOT,4,.396,152,1.000,.000,0.0%,50.0%,25.0%,94.1,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.1,0.0%,0.8
476,Andrew Heaney\heanean01,30,LAA,3,.528,246,1.000,.000,0.0%,33.3%,33.3%,94.1,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,0.0%,100.0%,0.1,0.0%,1.1
477,Andrew Heaney\heanean01,30,NYY,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3
478,Nick Heath\heathni01,27,ARI,39,.177,11,.250,.029,0.0%,38.5%,10.3%,84.8,30.0%,25.0%,45.0%,25.0%,0.82,25.0%,55.0%,20.0%,-0.4,0.0%,-4.8
479,Austin Hedges\hedgeau01,28,CLE,312,.233,35,.214,.129,3.2%,27.9%,4.8%,82.9,30.6%,20.6%,33.5%,28.7%,0.55,30.9%,53.1%,15.9%,-0.9,-0.8%,-22.4
480,Jonah Heim\heimjo01,26,TEX,285,.259,57,.210,.162,3.5%,20.4%,5.3%,86.8,38.1%,22.7%,39.8%,25.1%,0.67,29.9%,55.9%,14.2%,-0.5,-0.3%,-13.6
481,Scott Heineman\heinesc01,28,CIN,34,.227,17,.077,.200,5.9%,44.1%,8.8%,82.8,20.0%,0.0%,40.0%,33.3%,0.67,26.7%,53.3%,20.0%,-0.3,-0.2%,-4.8
482,Heath Hembree\hembrhe01,32,TOT,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
483,Heath Hembree\hembrhe01,32,CIN,1,.000,-144,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
484,Kyle Hendricks\hendrky01,31,CHC,61,.130,-60,.231,.019,0.0%,42.6%,3.3%,67.4,12.1%,12.1%,48.5%,12.1%,2.00,9.1%,66.7%,24.2%,-0.7,-0.2%,-8.6
485,Ryan Hendrix\hendrry01,26,CIN,1,.000,-144,.000,.000,0.0%,0.0%,0.0%,99.6,100.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.5
486,Payton Henry\henrypa01,24,MIA,16,.290,72,.400,.067,0.0%,31.3%,6.3%,89.8,60.0%,40.0%,30.0%,20.0%,0.43,0.0%,80.0%,20.0%,-0.2,0.0%,-0.5
487,Sam Hentges\hentgsa01,24,CLE,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
488,Guillermo Heredia\heredgu01,30,ATL,347,.298,71,.282,.134,1.4%,23.3%,9.2%,86.3,34.7%,25.8%,43.6%,22.7%,0.78,28.0%,53.3%,18.7%,-1.5,-1.1%,-8.7
489,Michael Hermosillo\hermomi01,26,CHC,38,.309,85,.190,.306,7.9%,31.6%,2.6%,89.3,33.3%,12.5%,20.8%,45.8%,0.26,37.5%,41.7%,20.8%,0.1,0.0%,-1.1
490,Carlos Hernandez\hernaca04,24,KCR,4,.000,-130,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-2.1
491,Cesar Hernandez\hernace02,31,TOT,637,.305,88,.266,.154,3.3%,21.2%,9.3%,86.4,33.3%,23.7%,45.4%,25.1%,0.86,27.9%,56.5%,15.6%,-0.6,0.0%,-9.0
492,Cesar Hernandez\hernace02,31,CLE,420,.324,102,.256,.199,4.3%,21.4%,9.1%,87.8,36.2%,24.7%,44.1%,25.3%,0.81,25.8%,58.5%,15.7%,0.2,0.0%,0.4
493,Cesar Hernandez\hernace02,31,CHW,217,.266,62,.286,.067,1.4%,20.7%,9.7%,83.7,27.7%,22.0%,48.0%,24.7%,0.97,32.0%,52.7%,15.3%,-0.8,-0.1%,-9.4
494,Elieser Hernandez\hernael01,26,MIA,18,.064,-141,.143,.000,0.0%,38.9%,0.0%,62.3,9.1%,18.2%,36.4%,0.0%,2.00,27.3%,54.5%,18.2%,-0.3,0.0%,-4.0
495,Enrique Hernandez\hernaen02,29,BOS,585,.344,109,.278,.199,3.4%,18.8%,10.4%,90.8,43.2%,25.2%,33.3%,32.6%,0.50,33.3%,49.4%,17.3%,-0.2,-0.1%,1.7
496,Teoscar Hernandez\hernate01,28,TOR,595,.380,137,.352,.227,5.4%,24.9%,6.1%,91.8,49.5%,27.7%,39.4%,27.5%,0.65,28.0%,54.0%,18.1%,2.5,1.5%,41.8
497,Yadiel Hernández\hernaya01,33,WSN,289,.341,113,.318,.140,3.1%,20.4%,7.6%,89.4,38.3%,22.2%,55.1%,21.7%,1.24,24.6%,53.1%,22.2%,0.0,0.0%,-0.9
498,Yonny Hernandez\hernayo02,23,TEX,166,.280,65,.277,.035,0.0%,19.3%,10.2%,81.0,15.9%,26.5%,51.3%,15.9%,1.16,21.2%,51.3%,27.4%,-1.0,0.0%,-10.1
499,Odubel Herrera\herreod01,29,PHI,492,.327,98,.285,.156,2.6%,15.7%,5.9%,87.7,40.2%,25.9%,47.8%,17.7%,0.96,24.3%,55.9%,19.8%,-0.4,0.0%,2.1
500,David Hess\hessda01,27,TOT,4,.000,-133,.000,.000,0.0%,75.0%,0.0%,81.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-1.1
501,David Hess\hessda01,27,MIA,4,.000,-133,.000,.000,0.0%,75.0%,0.0%,81.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-1.1
502,Jason Heyward\heywaja01,31,CHC,353,.293,72,.247,.133,2.3%,19.3%,7.7%,88.2,42.9%,20.8%,50.6%,18.8%,1.02,34.5%,55.3%,10.2%,-1.8,-0.8%,-7.4
503,Aaron Hicks\hicksaa01,31,NYY,126,.277,69,.224,.139,3.2%,23.8%,11.1%,89.3,38.8%,25.0%,33.8%,27.5%,0.51,30.0%,57.5%,12.5%,-0.6,-0.3%,-3.3
504,John Hicks\hicksjo02,31,TEX,31,.381,144,.211,.419,12.9%,25.8%,0.0%,90.6,34.8%,13.0%,34.8%,43.5%,0.53,52.2%,26.1%,21.7%,0.2,0.0%,1.4
505,Kyle Higashioka\higasky01,31,NYY,211,.271,64,.200,.207,4.7%,28.0%,8.1%,90.5,48.1%,24.4%,28.1%,35.6%,0.39,31.1%,54.8%,14.1%,-0.2,-0.3%,-6.8
506,P.J. Higgins\higgipj01,28,CHC,25,.128,-44,.067,.000,0.0%,32.0%,8.0%,82.4,13.3%,13.3%,60.0%,20.0%,1.50,40.0%,46.7%,13.3%,-0.6,-0.5%,-5.8
507,Derek Hill\hillde01,25,DET,150,.300,88,.351,.129,2.0%,28.0%,6.7%,82.6,30.2%,30.9%,38.1%,17.5%,0.70,26.8%,52.6%,20.6%,-0.7,0.0%,-0.2
508,Rich Hill\hillri01,41,TOT,26,.100,-69,.214,.000,0.0%,38.5%,0.0%,53.7,0.0%,6.3%,50.0%,0.0%,8.00,6.3%,75.0%,18.8%,-0.6,-0.4%,-5.5
509,Rich Hill\hillri01,41,TBR,4,.199,22,.500,.000,0.0%,50.0%,0.0%,51.0,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1
510,Rich Hill\hillri01,41,NYM,22,.080,-88,.167,.000,0.0%,36.4%,0.0%,54.1,0.0%,7.1%,50.0%,0.0%,7.00,7.1%,71.4%,21.4%,-0.6,-0.4%,-5.5
511,Sam Hilliard\hillisa01,27,COL,238,.331,87,.283,.248,5.9%,36.6%,9.7%,89.4,38.6%,18.1%,43.3%,29.1%,0.77,32.3%,53.5%,14.2%,0.2,-0.1%,6.7
512,Keston Hiura\hiurake01,24,MIL,197,.255,42,.269,.133,2.0%,39.1%,7.1%,89.6,41.4%,22.2%,35.4%,30.3%,0.56,28.3%,47.5%,24.2%,-1.9,-1.3%,-13.6
513,Nico Hoerner\hoernni01,24,CHC,170,.343,110,.360,.067,0.0%,14.7%,10.0%,86.6,34.4%,26.4%,49.6%,17.6%,1.00,26.4%,51.2%,22.4%,0.9,0.5%,7.9
514,Jeff Hoffman\hoffmje02,28,CIN,16,.120,-70,.167,.000,0.0%,18.8%,0.0%,69.8,23.1%,30.8%,23.1%,23.1%,0.43,7.7%,61.5%,30.8%,-0.1,0.0%,-2.4
515,Bryan Holaday\holadbr01,33,ARI,34,.239,38,.375,.065,0.0%,44.1%,2.9%,88.4,25.0%,25.0%,37.5%,25.0%,0.60,37.5%,50.0%,12.5%,-0.3,0.0%,-4.6
516,Jordan Holloway\hollojo01,25,MIA,10,.090,-70,.250,.000,0.0%,60.0%,0.0%,95.1,75.0%,25.0%,50.0%,0.0%,1.00,50.0%,0.0%,50.0%,-0.1,0.0%,-2.0
517,Clay Holmes\holmecl01,28,TOT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
518,Clay Holmes\holmecl01,28,PIT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
519,Brock Holt\holtbr01,33,TEX,260,.261,57,.254,.089,0.8%,18.9%,8.9%,86.1,24.6%,22.5%,48.7%,22.5%,0.95,32.1%,49.7%,18.2%,-0.5,0.0%,-9.4
520,Rhys Hoskins\hoskirh01,28,PHI,443,.378,136,.270,.283,6.1%,24.4%,10.6%,91.2,46.3%,24.4%,29.7%,36.7%,0.42,34.3%,48.4%,17.3%,1.3,1.0%,11.7
